local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-01-01,8.0,2.1,7.4,4.033333333333333,86.79166666666667,0.8250000000000001,1.39,0.0,64.70833333333333
2024-01-02,8.0,3.5,6.7,5.220833333333333,77.91666666666667,1.25,2.46,2.3,92.16666666666667
2024-01-03,9.0,4.5,8.2,6.2250000000000005,80.66666666666667,2.1554166666666665,4.18,0.8999999999999999,89.29166666666667
2024-01-04,8.0,4.9,7.0,6.316666666666666,91.25,1.5725,2.92,1.2000000000000002,99.20833333333333
2024-01-05,8.0,4.0,7.5,6.0249999999999995,84.25,4.36125,5.79,3.8,91.16666666666667
2024-01-06,6.0,2.5,6.2,4.620833333333334,91.04166666666667,2.10125,6.18,9.9,88.25
2024-01-07,5.0,1.7,5.0,3.1041666666666665,88.83333333333333,0.8108333333333334,1.75,0.1,89.33333333333333
2024-01-08,9.0,2.4,8.3,4.020833333333333,91.58333333333333,2.3320833333333333,6.94,9.7,99.79166666666667
2024-01-09,8.0,3.4,8.5,5.345833333333334,82.5,6.210416666666667,9.58,5.8,99.79166666666667
2024-01-10,4.0,1.5,4.4,2.7416666666666667,91.45833333333333,2.392916666666667,4.89,1.7000000000000002,92.79166666666667
2024-01-11,7.0,-2.6,5.1,1.5999999999999999,83.625,3.0379166666666664,4.85,0.4,91.83333333333333
2024-01-12,-4.0,-9.5,-3.3,-6.8374999999999995,64.66666666666667,4.22125,5.9,0.0,66.75
2024-01-13,-6.0,-10.0,-5.0,-7.6875,47.291666666666664,2.3658333333333332,3.14,0.0,63.0
2024-01-14,-1.0,-9.2,-1.4,-5.5249999999999995,49.416666666666664,1.175,2.06,0.0,61.083333333333336
2024-01-15,3.0,-5.8,2.2,-2.625,48.208333333333336,2.08875,2.79,0.0,44.333333333333336
2024-01-16,2.0,-4.8,2.3,-1.5125,51.625,1.0062499999999999,1.78,2.5,77.625
2024-01-17,4.0,-0.5,2.0,0.6458333333333334,92.25,1.4029166666666668,3.89,8.5,100.0
2024-01-18,3.0,1.0,4.7,2.775,83.04166666666667,3.28,5.12,21.18,96.0
2024-01-19,8.0,2.8,7.5,4.358333333333333,75.41666666666667,2.3433333333333333,4.22,3.3000000000000003,99.70833333333333
2024-01-20,9.0,1.9,8.7,4.8875,81.54166666666667,1.9904166666666667,3.89,4.6,80.04166666666667
2024-01-21,8.0,5.7,8.6,6.708333333333333,83.58333333333333,2.1908333333333334,3.35,9.8,99.625
2024-01-22,11.0,5.6,9.4,7.6499999999999995,86.54166666666667,2.8083333333333336,6.36,15.700000000000001,97.375
2024-01-23,11.0,5.3,9.6,8.179166666666667,87.91666666666667,3.1620833333333334,5.8,0.0,75.0
2024-01-24,11.0,5.0,9.9,6.970833333333334,83.20833333333333,2.8870833333333334,5.01,1.5,93.20833333333333
2024-01-25,11.0,6.2,9.7,7.604166666666667,85.04166666666667,3.58375,5.37,2.9000000000000004,94.41666666666667
2024-01-26,12.0,6.4,10.1,8.020833333333334,81.79166666666667,1.7283333333333333,2.55,6.2,99.91666666666667
2024-01-27,13.0,9.0,12.6,10.720833333333333,88.625,3.403333333333333,6.34,12.6,100.0
